output_id,link,output_name,project,type,metric_type,count,retrieved_date,status
o033,https://doi.org/10.5281/zenodo.17245594,Integrating ATR Software with University HPC Infrastructure: balancing diverse compute needs,Princeton Open HTR Initiative,Publication,Downloads,236,2026-08-20,ok
o092,https://doi.org/10.5281/zenodo.19472367,CDH Project Charter - Multilingual Semantic Embeddings (MuSE) 2024-2026,MuSE (Multilingual Semantic Embeddings),Grey Literature,Views,136,2026-08-20,ok
o092,https://doi.org/10.5281/zenodo.19472367,CDH Project Charter - Multilingual Semantic Embeddings (MuSE) 2024-2026,MuSE (Multilingual Semantic Embeddings),Grey Literature,Downloads,86,2026-08-20,ok
o001,https://doi.org/10.5281/zenodo.14861082,Citing Marx Project Charter,Remarx,Grey Literature,Views,314,2026-08-20,ok
o001,https://doi.org/10.5281/zenodo.14861082,Citing Marx Project Charter,Remarx,Grey Literature,Downloads,251,2026-08-20,ok
o086,https://doi.org/10.5281/zenodo.17315400,Community Code Review in the Digital Humanities,DH Tech,,Views,229,2026-08-20,ok
o086,https://doi.org/10.5281/zenodo.17315400,Community Code Review in the Digital Humanities,DH Tech,,Downloads,154,2026-08-20,ok
o096,https://doi.org/10.5281/zenodo.15863899,Surveying the Digital Humanities Research Software Engineering Landscape,DH Tech,Presentation / Poster,Views,441,2026-08-20,ok
o096,https://doi.org/10.5281/zenodo.15863899,Surveying the Digital Humanities Research Software Engineering Landscape,DH Tech,Presentation / Poster,Downloads,265,2026-08-20,ok
o061,https://doi.org/10.5281/zenodo.3713670,Data Beyond Vision,Data Beyond Vision,Publication,Citation Count,2,2026-08-20,ok
o061,https://doi.org/10.5281/zenodo.3713670,Data Beyond Vision,Data Beyond Vision,Publication,Views,578,2026-08-20,ok
o061,https://doi.org/10.5281/zenodo.3713670,Data Beyond Vision,Data Beyond Vision,Publication,Downloads,1010,2026-08-20,ok
o069,https://medium.com/nightingale/what-if-you-could-touch-data-9c3a82a73407,What If You Could Touch Data?,Data Beyond Vision,Publication,Views,,2026-08-20,manual
o069,https://medium.com/nightingale/what-if-you-could-touch-data-9c3a82a73407,What If You Could Touch Data?,Data Beyond Vision,Publication,Downloads,,2026-08-20,manual
o072,https://doi.org/10.5281/zenodo.3261530,Data Beyond Vision,Data Beyond Vision,Presentation / Poster,Views,495,2026-08-20,ok
o072,https://doi.org/10.5281/zenodo.3261530,Data Beyond Vision,Data Beyond Vision,Presentation / Poster,Downloads,282,2026-08-20,ok
o059,https://doi.org/10.5281/zenodo.3667650,bitKlavier,bitKlavier,Software Release,Views,237,2026-08-20,ok
o059,https://doi.org/10.5281/zenodo.3667650,bitKlavier,bitKlavier,Software Release,Downloads,27,2026-08-20,ok
o065,https://doi.org/10.5281/zenodo.3359175,CDH Project Charter — bitKlavier 2017-18,bitKlavier,Grey Literature,Views,514,2026-08-20,ok
o065,https://doi.org/10.5281/zenodo.3359175,CDH Project Charter — bitKlavier 2017-18,bitKlavier,Grey Literature,Downloads,262,2026-08-20,ok
o068,https://doi.org/10.1162/comj_a_00518,Preparing the Digital Piano: Introducing bitKlavier,bitKlavier,Publication,Citation Count,6,2026-08-20,ok
