ID,Outputs,Project (from Outputs),Type (from Outputs),Link (from Outputs),Start Date,End Date,Count,Metric Type,DOI Provider,Retrieved Date,Status
75,A Counterfactual Canon,🌐Shakespeare and Company,Publication,https://doi.org/10.22148/001c.116915,,,,Downloads,CulturalAnalytics,2026-08-11,manual
79,Preparing the Digital Piano: Introducing bitKlavier,bitKlavier,Publication,https://doi.org/10.1162/comj_a_00518,,,,Citation Count,MITPress,2026-08-11,manual
80,Tuning Playfully: Composed and Adaptive Tunings in bitKlavier,bitKlavier,Publication,https://doi.org/10.1162/comj_a_00519,,,,Citation Count,MITPress,2026-08-11,manual
41,Shakespeare and Company Project,🌐Shakespeare and Company,Publication,https://doi.org/10.21428/51bee781.13f8c789,,,,Citation Count,PubPub,2026-08-11,manual
31,mep-django,🌐Shakespeare and Company,Software Release,https://doi.org/10.5281/zenodo.3834178,,,1341,Views,Zenodo,2026-08-11,ok
22,ppa-django,🌐Princeton Prosody Archive,Software Release,https://doi.org/10.5281/zenodo.2400704,,,808,Views,Zenodo,2026-08-11,ok
44,bitKlavier,bitKlavier,Software Release,https://doi.org/10.5281/zenodo.3667650,,,701,Views,Zenodo,2026-08-11,ok
6,geniza,🌐Geniza,Software Release,https://doi.org/10.5281/zenodo.7347726,,,1193,Views,Zenodo,2026-08-11,ok
12,annotorious-tahqiq,🌐Geniza,Software Release,https://doi.org/10.5281/zenodo.14888965,,,633,Views,Zenodo,2026-08-11,ok
60,undate,R&D,Software Release,https://doi.org/10.5281/zenodo.11068867,,,458,Views,Zenodo,2026-08-11,ok
68,mep-django,🌐Shakespeare and Company,Software Release,https://doi.org/10.5281/zenodo.3834178,,,383,Downloads,Zenodo,2026-08-11,ok
48,djiffy,Internal Projects / PM and Process,Software Release,https://doi.org/10.5281/zenodo.15587021,,,420,Views,Zenodo,2026-08-11,ok
13,annotorious-tahqiq,🌐Geniza,Software Release,https://doi.org/10.5281/zenodo.14888965,,,162,Downloads,Zenodo,2026-08-11,ok
