Task,Status,Assignee,Output Type,Link,Daily time required,Start,Deadline,Completed,Project,Project Status (from Project),Type,Availability,Predecessors,Additional Versions,DOI,DOI Service,Range,Photo (from Assignee),Is Overdue,Is Complete,Description,Order,Access_Metrics,Access_Metrics 2
"""Built by CDH"" Long Term Software Agreement",Done,"Rebecca Koeser,Jean Bauer",,https://doi.org/10.5281/zenodo.3359202,,,,1/1/2018,Internal Projects / PM and Process,CDH Research,Grey Literature,,,,10.5281/zenodo.3359202,Zenodo,#ERROR!,,,Yes,,b1X,,"49,82,133,137"
Project Management 101,Done,Mary Naydan,,https://doi.org/10.5281/zenodo.14907039,,,,2/21/2025,Internal Projects / PM and Process,CDH Research,Presentation / Poster,,,,10.5281/zenodo.14907039,Zenodo,#ERROR!,,,Yes,,b1c,,"50,83,149,151"
Modeling Project Management through Charters,Done,"Jeri Wieringa,Mary Naydan",,https://doi.org/10.5281/zenodo.14516760,,,,6/20/2024,Internal Projects / PM and Process,CDH Research,Presentation / Poster,,,,10.5281/zenodo.14516760,Zenodo,#ERROR!,,,Yes,,b1k,,"52,85,147,154"
Data Beyond Vision,Done,"Rebecca Koeser,Gissoo Doroudian,Nick Budak",,https://doi.org/10.5281/zenodo.3713670,,,,10/1/2020,Internal Projects / PM and Process,CDH Research,Publication,,,,10.5281/zenodo.3713670,Zenodo,#ERROR!,,,Yes,,b1q,,"54,56,87,156,160,161"
What If You Could Touch Data?,Done,Rebecca Koeser,,https://medium.com/nightingale/what-if-you-could-touch-data-9c3a82a73407,,,,12/7/2020,Internal Projects / PM and Process,CDH Research,Publication,,,,https://medium.com/nightingale/what-if-you-could-touch-data-9c3a82a73407,,#ERROR!,,,Yes,,b1z,,
Data Beyond Vision,Done,"Rebecca Koeser,Nick Budak,Xinyi Li,Gissoo Doroudian",,https://doi.org/10.5281/zenodo.3261530,,,,7/12/2019,Internal Projects / PM and Process,CDH Research,Presentation / Poster,,,,10.5281/zenodo.3261530,Zenodo,#ERROR!,,,Yes,,b22,,
"Everything, All at Once, Yesterday: Creating Research Software with Humanities Faculty",Done,"Mary Naydan,Jeri Wieringa",Tier 3 Staff Publication,https://doi.org/10.5281/zenodo.17315341,,,,10/8/2025,Internal Projects / PM and Process,CDH Research,Presentation / Poster,,,,10.5281/zenodo.17315341,,#ERROR!,,,Yes,,b2J,,
djiffy,Released,Rebecca Koeser,,https://doi.org/10.5281/zenodo.15587021,,,,2/16/2022,Internal Projects / PM and Process,CDH Research,Software Release,,,,10.5281/zenodo.15587021,Zenodo,#ERROR!,,Yes,Yes,,b0w,,"48,81,182,190"
piffle,Released,Rebecca Koeser,,https://doi.org/10.5281/zenodo.13256210,,,,5/26/2021,Internal Projects / PM and Process,CDH Research,Software Release,,,,10.5281/zenodo.13256210,Zenodo,#ERROR!,,Yes,Yes,,b1j,,"51,84,187,193"
django-pucas,Released,Rebecca Koeser,,https://doi.org/10.5281/zenodo.13905619,,,,1/1/2024,Internal Projects / PM and Process,CDH Research,Software Release,,,,10.5281/zenodo.13905619,Zenodo,#ERROR!,,Yes,Yes,,b1m,,"53,86,189,194"
