output_id,output_name,project,type,status,assignee,link,doi_service,completed_date,availability,description,alt_id,source,zenodo_concept,zotero_key
o065,CDH Project Charter — bitKlavier 2017-18,bitKlavier,Grey Literature,Done,"Rebecca Koeser,Rebecca Munson,Dan Trueman",https://doi.org/10.5281/zenodo.3359175,Zenodo,9/6/2017,,,,zenodo,,B4CVTJUN
o068,Preparing the Digital Piano: Introducing bitKlavier,bitKlavier,Publication,Done,Dan Trueman,https://doi.org/10.1162/comj_a_00518,,6/20/2020,,,,manual,,ZCS5IS5W
o070,Tuning Playfully: Composed and Adaptive Tunings in bitKlavier,bitKlavier,Publication,Done,Dan Trueman,https://doi.org/10.1162/comj_a_00519,,6/1/2019,,,,manual,,FXSN5TRW
o097,Attribution Bias in Literary Style Evaluation: Comparing Human and AI Perceptions of Authorship,Exercises in Literary Style,Dataset,Done,"Wouter Haverals,Meredith Martin",https://doi.org/10.5281/zenodo.17109457,Zenodo,3/24/2026,,,,zenodo,17109457,EYCV2TWL
o098,"Teaching Critical AI Literacy through ""Lab""-Based Learning",Humanities for AI,Presentation / Poster,Done,Mary Naydan,https://doi.org/10.5281/zenodo.16876911,Zenodo,8/14/2025,,,,zenodo,16876911,NGXAZZ6R
o099,Time Horizons of Futuristic Fiction [poster],Staff Projects,Presentation / Poster,Done,Grant Wythoff,https://doi.org/10.5281/zenodo.14537978,Zenodo,12/20/2024,,,,zenodo,14537978,BS3PXBAP
o100,Evaluating Augmented Training Data for Complex Document Layouts: the Case of Arabic Scientific Manuscripts,Princeton Open HTR Initiative,Presentation / Poster,Done,Christine Roughan,https://doi.org/10.5281/zenodo.14518294,Zenodo,8/7/2024,,,,zenodo,14518294,R82SJUX6
o101,Computational Approaches to Nigerian Literature: Analyzing Texts in Yoruba and Efik,African Language Technologies Lab,Presentation / Poster,Done,"Utitofon Inyang,Temitayo Olatoye,Happy Buzaaba,Natalia Ermolaev",https://doi.org/10.5281/zenodo.14516551,Zenodo,12/18/2024,,,,zenodo,14516551,S3PYYPXH
o102,Charting the Evolution of Topics and Ideas in the Princeton Prosody Archive,Princeton Prosody Archive,Presentation / Poster,Done,"Wouter Haverals,Meredith Martin",https://doi.org/10.5281/zenodo.14516179,Zenodo,12/18/2024,,,,zenodo,14516179,RPNDPCSJ
o103,Annual Report 2018-2019: Cultivating Princeton's Data Landscape,Digital Humanities Processes and Practices,Grey Literature,Done,"Grant Wythoff,Meredith Martin,Natalia Ermolaev,Rebecca Munson,Phillip Unetic,Gissoo Doroudian,Tracy Patterson",https://doi.org/10.5281/zenodo.3374002,Zenodo,9/23/2019,,,,zenodo,3374002,
